name,method,resolution_A,mol_weight_Da,mol_weight_kDa,n_polymer_chains,q_score
11gi,ELECTRON MICROSCOPY,3.00,111142.5,111.14,3,NA
11gj,ELECTRON MICROSCOPY,3.30,112617.3,112.62,3,NA
11gk,ELECTRON MICROSCOPY,3.00,111017.3,111.02,3,NA
11ic,ELECTRON MICROSCOPY,2.63,134491.0,134.49,3,NA
12sn,ELECTRON MICROSCOPY,3.38,186803.1,186.80,6,NA
21we,ELECTRON MICROSCOPY,2.91,151646.0,151.65,2,NA
21wj,ELECTRON MICROSCOPY,2.87,164983.1,164.98,3,NA
24ew,ELECTRON MICROSCOPY,2.39,187432.0,187.43,6,NA
5uz9,ELECTRON MICROSCOPY,3.40,379215.9,379.22,13,NA
6b47,ELECTRON MICROSCOPY,3.20,363444.8,363.44,11,NA
6iqw,ELECTRON MICROSCOPY,3.35,261301.3,261.30,7,NA
6kl9,ELECTRON MICROSCOPY,3.25,212108.7,212.11,4,NA
6lnc,ELECTRON MICROSCOPY,3.21,446075.4,446.08,11,NA
6m7d,ELECTRON MICROSCOPY,2.90,58992.1,58.99,2,NA
6mcb,ELECTRON MICROSCOPY,3.40,210495.7,210.50,3,NA
6mut,ELECTRON MICROSCOPY,3.10,281613.9,281.61,8,NA
6muu,ELECTRON MICROSCOPY,3.00,267478.4,267.48,7,NA
6nm9,ELECTRON MICROSCOPY,3.38,367998.0,368.00,6,NA
6p7m,ELECTRON MICROSCOPY,3.00,184617.7,184.62,3,NA
6pif,ELECTRON MICROSCOPY,3.40,421499.3,421.50,11,NA
6pvk,ELECTRON MICROSCOPY,3.40,1176100.2,1176.10,17,NA
6r7g,ELECTRON MICROSCOPY,2.20,313834.2,313.83,14,NA
6sh8,ELECTRON MICROSCOPY,3.14,972835.2,972.84,39,NA
6shb,ELECTRON MICROSCOPY,3.07,972835.2,972.84,39,NA
6szu,ELECTRON MICROSCOPY,2.41,281689.7,281.69,5,NA
6t0n,ELECTRON MICROSCOPY,2.54,273961.1,273.96,5,NA
6t0r,ELECTRON MICROSCOPY,2.82,278466.7,278.47,4,NA
6thn,ELECTRON MICROSCOPY,2.60,94384.0,94.38,5,NA
6tw1,ELECTRON MICROSCOPY,2.70,281650.7,281.65,5,NA
6v9q,ELECTRON MICROSCOPY,2.90,445503.8,445.50,11,NA
6vqv,ELECTRON MICROSCOPY,2.57,380414.5,380.41,12,NA
6vqx,ELECTRON MICROSCOPY,3.15,375574.5,375.57,11,NA
6vrb,ELECTRON MICROSCOPY,3.00,172030.1,172.03,3,NA
6w6v,ELECTRON MICROSCOPY,3.00,422248.7,422.25,11,NA
6wua,ELECTRON MICROSCOPY,3.20,595652.2,595.65,8,NA
6wub,ELECTRON MICROSCOPY,3.20,641780.1,641.78,12,NA
6xmf,ELECTRON MICROSCOPY,3.10,129248.1,129.25,2,NA
6xn3,ELECTRON MICROSCOPY,3.00,326929.7,326.93,12,NA
6xn4,ELECTRON MICROSCOPY,3.35,285349.3,285.35,10,NA
6xn5,ELECTRON MICROSCOPY,2.97,266963.1,266.96,8,NA
6xzp,ELECTRON MICROSCOPY,3.30,593705.3,593.71,8,NA
6xzr,ELECTRON MICROSCOPY,3.30,593705.3,593.71,8,NA
6y0c,ELECTRON MICROSCOPY,3.20,287345.6,287.35,4,NA
6ybs,ELECTRON MICROSCOPY,3.10,963792.4,963.79,18,NA
6ypu,ELECTRON MICROSCOPY,2.90,1181130.7,1181.13,15,NA
6yt9,ELECTRON MICROSCOPY,2.70,1181130.7,1181.13,15,NA
6ytf,ELECTRON MICROSCOPY,3.00,632778.1,632.78,10,NA
6yyt,ELECTRON MICROSCOPY,2.90,183674.4,183.67,8,NA
6zol,ELECTRON MICROSCOPY,2.80,852800.7,852.80,16,NA
7aap,ELECTRON MICROSCOPY,2.50,180692.0,180.69,6,NA
7af3,ELECTRON MICROSCOPY,2.82,634228.6,634.23,9,NA
7af5,ELECTRON MICROSCOPY,2.96,634228.6,634.23,9,NA
7af8,ELECTRON MICROSCOPY,2.75,634228.6,634.23,9,NA
7afa,ELECTRON MICROSCOPY,2.95,634228.6,634.23,9,NA
7afd,ELECTRON MICROSCOPY,3.44,634228.6,634.23,9,NA
7aoz,ELECTRON MICROSCOPY,2.85,543601.8,543.60,12,NA
7b3d,ELECTRON MICROSCOPY,2.80,161696.2,161.70,5,NA
7bg6,ELECTRON MICROSCOPY,2.60,95178.0,95.18,5,NA
7bgd,ELECTRON MICROSCOPY,3.20,688721.5,688.72,14,NA
7bkp,ELECTRON MICROSCOPY,2.80,125062.8,125.06,3,NA
7bv2,ELECTRON MICROSCOPY,2.50,158464.3,158.46,5,NA
7cxm,ELECTRON MICROSCOPY,2.90,323596.5,323.60,9,NA
7da7,ELECTRON MICROSCOPY,3.47,204327.8,204.33,3,NA
